,online_booking,mobile_site_booking,Car_Cancellation,from_date,booking_month,weekend,festivals,hourOfDay,intercity_distance,cancel_zone
6,0,0,0,1,1,0,0,2,93.0,1
17,1,0,0,1,1,1,0,1,17.0,0
24,0,0,0,1,1,1,0,1,17.0,0
158,1,0,0,1,3,0,0,2,151.0,0
216,1,0,0,1,4,1,0,1,17.0,0
233,0,0,0,1,4,1,0,1,17.0,0
234,1,0,0,1,4,1,0,1,31.0,0
243,0,0,0,1,4,0,0,1,14.0,0
328,0,0,0,1,5,1,0,5,17.0,1
332,0,0,0,1,5,1,0,1,17.0,1
374,0,0,0,1,5,1,0,1,145.0,0
422,1,0,0,1,6,1,0,1,31.0,0
485,0,0,0,1,7,0,0,1,14.0,1
610,1,0,0,1,8,0,0,1,49.0,0
668,1,0,0,1,9,1,0,1,17.0,0
669,1,0,0,1,9,1,0,1,46.0,1
704,0,0,0,1,10,0,0,3,131.0,1
717,1,0,0,2,10,0,0,6,2.0,0
738,1,0,0,1,10,1,0,6,178.0,0
779,0,0,0,1,10,1,0,1,116.0,0
837,0,0,0,1,11,1,0,2,131.0,0
869,1,0,0,1,11,0,0,2,54.0,1
871,1,0,0,1,11,1,0,6,16.0,0
905,0,0,0,1,12,1,0,2,14.0,0
917,0,0,0,1,12,1,0,3,14.0,0
926,0,0,0,1,12,0,0,2,40.0,1
949,0,0,0,1,12,1,0,1,9.0,0
975,0,0,0,1,12,0,0,1,93.0,0
977,0,0,0,1,12,1,0,1,17.0,0
985,0,0,0,1,12,1,0,1,17.0,0
999,0,0,0,1,12,1,0,1,17.0,0
1002,0,0,0,1,12,1,0,2,17.0,1
1008,0,0,0,1,12,1,0,1,17.0,0
1010,0,0,0,1,13,1,0,2,17.0,0
1011,0,0,0,1,13,1,0,1,131.0,0
1016,1,0,0,1,13,1,0,2,54.0,0
1017,0,0,0,1,13,1,0,1,93.0,0
1029,0,0,0,1,13,1,0,2,17.0,0
1040,0,0,0,1,13,0,0,2,174.0,0
1049,1,0,0,1,13,0,0,1,132.0,0
1051,0,0,0,1,13,0,0,1,17.0,0
1058,0,0,0,1,13,0,0,1,172.0,0
1079,1,0,0,1,13,0,0,1,132.0,0
1154,0,0,0,1,14,0,0,4,17.0,0
1171,0,0,0,1,14,0,0,6,17.0,0
1303,0,0,0,1,16,0,0,1,17.0,1
1314,1,0,0,1,16,0,0,1,17.0,0
1333,0,0,0,1,16,0,0,1,50.0,0
1391,1,0,0,1,17,0,0,5,31.0,1
1407,0,0,0,1,17,1,0,1,163.0,1
1418,0,0,0,1,17,1,0,6,131.0,0
1421,0,0,0,1,17,0,0,2,34.0,1
1425,0,0,0,1,17,0,0,4,9.0,0
1442,1,0,0,1,17,0,0,1,184.0,0
1520,0,0,0,1,18,1,0,1,17.0,0
1529,0,0,0,1,18,1,0,1,17.0,0
1537,1,0,0,1,18,1,0,1,17.0,0
1539,0,0,0,1,18,1,0,6,116.0,0
1633,0,0,0,1,19,1,0,1,17.0,0
1645,1,0,0,1,19,1,0,1,54.0,0
1686,1,0,0,1,19,1,0,1,17.0,0
1744,1,0,0,1,20,0,0,1,145.0,1
1836,0,0,0,1,21,0,0,6,49.0,0
1853,0,0,0,1,21,0,0,6,49.0,0
1989,1,0,0,1,22,0,0,2,131.0,0
2029,0,0,0,1,23,0,0,2,146.0,0
2033,0,0,0,2,23,0,0,6,131.0,0
2149,0,0,0,1,24,0,0,2,17.0,0
2158,1,0,0,1,24,0,0,1,131.0,0
2180,1,0,0,1,24,0,0,6,125.0,0
2187,0,0,0,1,24,0,0,1,17.0,0
2193,0,0,0,1,24,1,0,6,14.0,0
2243,1,0,0,1,25,1,0,1,17.0,0
2270,0,0,0,1,25,1,0,1,41.0,0
2292,0,0,0,1,25,1,0,1,14.0,0
2304,0,0,0,1,25,0,0,5,131.0,0
2346,0,0,0,1,26,1,0,2,26.0,0
2397,1,0,0,1,26,1,0,1,17.0,1
2413,1,0,0,1,26,1,0,1,93.0,1
2440,0,0,0,1,26,1,0,1,170.0,1
2463,0,0,0,1,27,1,0,2,9.0,1
2505,1,0,0,1,27,0,0,1,54.0,1
2543,1,0,0,1,27,0,0,2,67.0,0
2644,1,0,0,2,28,1,0,1,131.0,0
2658,1,0,0,1,28,0,0,1,17.0,1
2725,0,0,0,1,29,0,0,1,43.0,0
2808,0,0,0,1,30,0,0,1,34.0,1
2835,0,0,0,1,30,0,0,2,34.0,1
2839,1,0,0,1,30,0,0,1,130.0,1
2886,1,0,0,2,31,1,0,6,40.0,0
2924,0,0,0,2,31,1,0,1,40.0,0
2925,1,0,0,2,31,1,0,6,40.0,0
2958,0,0,0,2,1,0,0,2,26.0,1
2989,1,0,0,2,1,1,0,6,21.0,0
2993,0,0,0,2,1,0,0,2,17.0,1
3058,1,0,0,2,1,1,0,1,120.0,1
3090,0,0,0,2,2,1,0,1,40.0,1
3165,0,0,0,2,2,1,0,1,17.0,0
3209,0,0,0,2,3,1,0,3,129.0,0
3343,0,0,0,2,4,1,0,1,14.0,0
3462,0,0,0,2,6,0,0,1,17.0,0
3504,0,0,0,2,6,0,0,1,17.0,0
3550,1,0,0,2,6,1,0,1,17.0,0
3731,0,0,0,2,8,1,0,1,17.0,0
3763,1,0,0,2,8,1,0,1,40.0,0
3827,0,0,0,2,9,1,0,1,116.0,0
3918,0,0,0,2,10,1,0,2,17.0,1
3942,1,0,0,2,10,0,0,2,148.0,1
3945,1,0,0,2,10,1,0,3,40.0,1
3952,0,0,0,2,10,0,0,1,136.0,0
4095,1,0,0,2,12,0,0,3,17.0,1
4108,1,0,0,2,12,1,0,6,17.0,1
4318,0,0,0,2,14,0,0,2,17.0,0
4354,0,0,0,2,14,0,0,1,10.0,0
4398,1,0,0,2,15,0,0,1,40.0,0
4413,0,0,0,2,15,1,0,1,17.0,0
4477,1,0,0,2,15,1,0,1,17.0,0
4500,0,0,0,2,16,1,0,1,132.0,1
4507,0,0,0,2,16,1,0,2,41.0,0
4527,0,0,0,2,16,0,0,2,131.0,0
4533,0,0,0,3,16,1,0,2,17.0,1
4580,1,0,0,2,16,1,0,1,17.0,1
4674,0,0,0,2,17,1,0,4,176.0,0
4739,1,0,0,2,18,0,0,2,3.0,1
4740,0,0,0,2,18,0,0,1,131.0,1
4747,0,0,0,2,18,0,0,1,17.0,0
4749,1,0,0,2,18,0,0,6,129.0,1
4798,1,0,0,2,18,0,0,5,131.0,0
4860,0,0,0,2,19,0,0,6,17.0,1
4892,1,0,0,2,19,0,0,1,17.0,0
4903,1,0,0,2,19,0,0,1,17.0,0
4911,1,0,0,2,19,0,0,1,26.0,1
4912,1,0,0,2,19,1,0,1,17.0,1
5033,1,0,0,2,21,1,0,1,31.0,0
5070,1,0,0,2,21,1,0,3,17.0,0
5141,0,0,0,2,22,1,0,6,14.0,0
5144,1,0,0,2,22,0,0,3,147.0,1
5189,1,0,0,2,22,1,0,1,17.0,0
5193,0,0,0,2,22,1,0,1,99.0,1
5200,0,0,0,2,22,0,0,5,188.0,0
5205,0,0,0,2,22,1,0,1,131.0,1
5216,0,0,0,2,22,1,0,1,99.0,1
5233,0,0,0,2,23,1,0,2,40.0,0
5234,0,0,0,2,23,1,0,2,40.0,0
5236,0,0,0,2,23,1,0,2,131.0,1
5279,1,0,0,2,23,1,0,1,17.0,0
5285,0,0,0,2,23,1,0,4,40.0,0
5318,1,0,0,2,23,1,0,1,34.0,1
5331,0,0,0,2,23,1,0,1,17.0,1
5370,1,0,0,2,24,0,0,1,17.0,0
5375,1,0,0,3,24,1,0,1,28.0,0
5408,0,0,0,2,24,0,0,3,17.0,1
5501,1,0,0,2,25,0,0,2,111.0,0
5523,0,0,0,2,25,0,0,3,9.0,0
5576,0,0,0,2,26,0,0,1,40.0,0
5603,1,0,0,2,26,0,0,2,17.0,1
5627,0,0,0,2,27,0,0,2,26.0,0
5661,0,0,0,3,27,0,0,1,14.0,0
5671,0,0,0,3,27,1,0,1,17.0,0
5703,1,0,0,2,27,0,0,1,131.0,0
5706,0,0,0,2,27,0,0,1,9.0,0
5716,1,0,0,3,27,1,0,1,43.0,0
5747,1,0,0,3,28,1,0,1,12.0,0
5779,1,0,0,3,28,0,0,3,29.0,0
5809,0,0,0,3,28,1,0,1,131.0,0
5835,1,0,0,3,1,1,0,1,40.0,0
5845,0,0,0,3,1,0,0,3,40.0,1
5940,1,0,0,3,2,1,0,1,31.0,0
5943,0,0,0,3,2,1,0,1,17.0,0
5952,0,0,0,3,2,1,0,2,142.0,0
5970,0,0,0,3,2,0,0,1,17.0,1
5978,0,0,0,3,2,1,0,2,131.0,0
6001,0,0,0,3,2,1,0,1,17.0,0
6003,1,0,0,3,2,1,0,2,17.0,0
6006,0,0,0,3,2,1,0,1,145.0,1
6010,0,0,0,3,2,1,0,2,17.0,0
6034,0,0,0,3,3,1,0,4,41.0,0
6068,1,0,0,3,3,0,0,1,17.0,0
6146,0,0,0,3,4,1,0,3,17.0,1
6161,0,0,0,3,4,0,0,1,17.0,0
6176,0,0,0,3,4,1,0,6,17.0,1
6208,0,0,0,3,5,0,0,2,34.0,0
6209,0,0,0,3,5,0,0,2,34.0,0
6269,0,0,0,3,6,0,0,1,17.0,1
6292,0,0,0,3,6,0,0,1,40.0,0
6368,0,0,0,3,7,0,0,1,26.0,0
6392,0,0,0,3,7,0,0,1,132.0,0
6405,0,0,0,3,7,1,0,1,29.0,0
6418,0,0,0,3,8,0,0,1,93.0,0
6438,0,0,0,3,8,1,0,1,17.0,1
6446,1,0,0,3,8,1,0,1,17.0,1
6477,1,0,0,4,8,0,0,1,28.0,0
6494,0,0,0,3,8,1,0,1,17.0,0
6542,0,0,0,3,9,1,0,1,22.0,0
6583,1,0,0,3,9,1,0,4,17.0,1
6584,1,0,0,3,9,0,0,1,17.0,1
6646,0,0,0,3,10,1,0,2,100.0,0
6660,0,0,0,3,10,0,0,1,29.0,0
6672,0,0,0,3,10,0,0,1,36.0,0
6748,1,0,0,3,11,1,0,6,143.0,0
6753,0,0,0,3,11,0,0,4,29.0,1
6762,1,0,0,3,11,0,0,4,43.0,1
6763,1,0,0,3,11,0,0,4,43.0,1
6797,1,0,0,3,11,0,0,2,131.0,0
6868,1,0,0,3,12,1,0,6,40.0,1
6908,1,0,0,3,13,0,0,1,14.0,1
6972,1,0,0,3,13,0,0,1,151.0,1
7012,0,0,0,3,14,0,0,4,17.0,1
7064,0,0,0,3,15,0,0,1,17.0,1
7130,0,0,0,3,15,1,0,2,145.0,0
7157,0,0,0,3,16,1,0,3,188.0,0
7185,0,0,0,3,16,0,0,1,34.0,0
7202,0,0,0,3,16,1,0,1,17.0,0
7203,1,0,0,3,16,1,0,2,17.0,0
7241,0,0,0,3,17,1,0,3,176.0,0
7292,0,0,0,3,18,0,0,2,34.0,1
7302,0,0,0,3,18,0,0,2,175.0,0
7337,0,0,0,3,18,0,0,1,26.0,0
7444,1,0,0,3,20,0,0,1,17.0,1
7480,0,0,0,3,20,1,0,1,17.0,0
7494,1,0,0,3,21,1,0,1,31.0,1
7627,1,0,0,3,22,1,0,1,17.0,1
7658,0,0,0,3,23,1,0,2,17.0,0
7665,0,0,0,3,23,1,0,1,14.0,0
7709,0,0,0,3,23,0,0,1,116.0,0
7748,1,0,0,3,23,1,0,1,76.0,0
7796,0,0,0,3,24,1,0,3,94.0,1
7827,0,0,0,3,24,0,0,1,40.0,0
7902,0,0,0,3,25,0,0,3,53.0,0
7908,0,0,0,3,25,0,0,1,22.0,1
7919,0,0,0,3,25,0,0,1,14.0,0
7953,0,0,0,3,25,0,0,1,17.0,1
7973,0,0,0,3,26,0,0,1,14.0,0
7981,0,0,0,3,26,0,0,2,30.0,0
8011,0,0,0,3,26,0,0,1,40.0,0
8072,0,0,0,3,27,0,0,1,17.0,0
8075,1,0,0,3,27,0,0,1,17.0,0
8082,0,0,0,3,27,1,0,1,17.0,0
8094,0,0,0,3,27,0,0,1,40.0,0
8100,0,0,0,3,27,0,0,1,14.0,0
8106,0,0,0,3,27,0,0,1,40.0,0
8126,0,0,0,3,27,0,0,1,43.0,1
8145,0,0,0,3,28,0,0,1,1.0,0
8160,0,0,0,3,28,0,0,4,94.0,1
8185,1,0,0,3,28,0,0,1,40.0,1
8186,0,0,0,3,28,1,0,1,11.0,0
8196,0,0,0,3,28,0,0,1,101.0,1
8202,0,0,0,3,28,1,0,2,26.0,0
8203,0,0,0,3,28,0,0,2,5.0,0
8206,0,0,0,3,28,0,0,1,43.0,1
8218,1,0,0,3,28,0,0,2,31.0,0
8221,1,0,0,3,28,0,0,1,139.0,0
8244,1,0,0,3,29,0,0,1,145.0,0
8246,0,0,0,3,29,0,0,2,183.0,0
8275,0,0,0,3,29,1,0,1,40.0,0
8281,0,0,0,3,29,1,0,1,51.0,0
8305,0,0,0,3,29,1,0,6,152.0,1
8321,0,0,0,3,29,1,0,1,9.0,1
8332,1,0,0,3,29,1,0,6,17.0,1
8335,1,0,0,3,29,1,0,1,17.0,0
8348,0,0,0,3,29,1,0,2,17.0,0
8350,1,0,0,4,29,0,0,1,132.0,0
8352,0,0,0,3,29,1,0,1,17.0,0
8354,0,0,0,3,30,1,0,1,41.0,0
8386,0,0,0,3,30,1,0,1,95.0,0
8403,0,0,0,4,30,0,0,1,17.0,0
8477,0,0,0,3,30,1,0,1,137.0,0
8480,0,0,0,3,30,1,0,1,17.0,1
8489,0,0,0,3,31,1,0,6,29.0,0
8518,0,0,0,4,31,0,0,1,17.0,1
8553,1,0,0,4,31,0,0,1,31.0,0
8571,1,0,0,4,31,1,0,1,131.0,1
8574,0,0,0,4,31,1,0,1,131.0,0
8593,0,0,0,4,31,0,0,1,17.0,0
8666,0,0,0,4,1,0,0,3,94.0,0
8676,0,0,0,4,1,1,0,1,40.0,0
8683,0,0,0,4,1,0,0,4,17.0,1
8712,1,0,0,4,1,0,0,1,188.0,1
8764,0,0,0,4,2,0,0,4,98.0,0
8780,0,0,0,4,2,0,0,1,174.0,1
8816,0,0,0,4,3,0,0,1,49.0,1
8825,0,0,0,4,3,0,0,1,34.0,1
8840,1,0,0,4,3,0,0,1,31.0,1
8861,0,0,0,4,3,0,0,5,146.0,0
8864,0,0,0,4,3,0,0,5,22.0,0
8915,1,0,0,4,4,0,0,3,14.0,1
8916,0,0,0,4,4,0,0,5,22.0,0
8926,0,0,0,4,4,0,0,2,145.0,0
8930,0,0,0,4,4,0,0,1,183.0,0
8978,1,0,0,4,4,0,0,4,116.0,0
8980,0,0,0,4,4,0,0,1,17.0,1
8986,0,0,0,4,4,1,0,1,43.0,0
9020,0,0,0,4,5,1,0,1,40.0,1
9029,0,0,0,4,5,1,0,2,2.0,0
9035,1,0,0,4,5,1,0,2,104.0,1
9050,0,0,0,4,5,1,0,2,5.0,0
9059,1,0,0,4,5,1,0,1,31.0,0
9062,1,0,0,4,5,1,0,1,131.0,0
9113,0,0,0,4,6,1,0,4,14.0,0
9119,0,0,0,4,6,1,0,1,155.0,0
9140,0,0,0,4,6,1,0,2,17.0,1
9148,0,0,0,4,6,0,0,1,169.0,0
9204,1,0,0,4,7,1,0,1,2.0,0
9297,0,0,0,4,8,1,0,1,93.0,1
9317,0,0,0,4,8,0,0,2,17.0,1
9334,0,0,0,4,8,0,0,6,17.0,0
9355,0,0,0,4,9,0,0,2,176.0,0
9367,0,0,0,4,9,0,0,2,62.0,0
9391,0,0,0,4,9,1,0,1,45.0,0
9394,0,0,0,4,9,0,0,1,27.0,0
9456,0,0,0,4,10,0,0,1,67.0,1
9506,0,0,0,4,10,0,0,1,14.0,0
9528,0,0,0,4,10,1,0,1,40.0,0
9529,0,0,0,4,10,1,0,1,40.0,0
9533,0,0,0,4,10,0,0,1,17.0,1
9590,0,0,0,4,11,0,0,2,145.0,0
9626,0,0,0,4,11,0,0,1,116.0,1
9629,0,0,0,4,11,0,0,2,17.0,0
9641,0,0,0,4,12,0,0,1,17.0,0
9666,0,0,0,4,12,1,0,1,170.0,0
9673,0,0,0,4,12,0,0,2,17.0,0
9676,0,0,0,4,12,1,0,1,17.0,1
9701,0,0,0,4,12,1,0,1,40.0,0
9715,0,0,0,4,12,1,0,1,40.0,1
9720,0,0,0,4,12,1,0,1,14.0,0
9724,0,0,0,4,12,1,0,1,17.0,0
9730,0,0,0,4,12,1,0,6,41.0,1
9739,0,0,0,4,12,0,0,2,34.0,1
9742,1,0,0,4,12,1,0,6,2.0,0
9743,0,0,0,4,12,1,0,1,14.0,1
9744,0,0,0,4,12,1,0,1,17.0,0
9757,1,0,0,4,12,1,0,1,17.0,0
9758,0,0,0,4,12,1,0,1,17.0,1
9776,0,0,0,4,12,1,0,1,17.0,0
9791,0,0,0,4,13,1,0,2,26.0,1
9795,0,0,0,4,13,1,0,2,17.0,0
9907,0,0,0,4,14,1,0,1,54.0,0
9922,0,0,0,4,14,1,0,2,95.0,0
9945,0,0,0,4,14,0,0,1,14.0,0
9954,1,0,0,4,14,1,0,5,7.0,0
9955,1,0,0,4,14,1,0,5,82.0,0
10011,1,0,0,4,15,0,0,1,131.0,0
10049,0,0,0,4,15,0,0,3,175.0,1
10084,0,0,0,4,15,0,0,5,29.0,0
10118,0,0,0,4,15,0,0,6,40.0,0
10136,1,0,0,4,16,0,0,2,131.0,0
10151,1,0,0,5,16,0,0,4,63.0,1
10160,1,0,1,5,16,1,0,1,14.0,1
10166,0,0,0,4,16,1,0,1,131.0,1
10187,0,0,0,4,16,0,0,2,43.0,0
10227,1,0,0,4,17,0,0,2,57.0,0
10253,1,0,0,4,17,0,0,1,40.0,0
10310,0,0,0,4,18,0,0,2,14.0,1
10317,0,0,0,4,18,1,0,1,131.0,1
10355,1,0,0,4,18,0,0,3,17.0,1
10365,1,0,0,4,18,0,0,4,34.0,0
10392,1,0,0,5,18,1,0,6,31.0,1
10403,0,0,0,4,19,0,0,6,74.0,1
10457,0,0,0,4,19,1,0,1,17.0,0
10498,0,0,0,4,19,1,0,1,17.0,0
10533,0,0,0,4,20,1,0,1,137.0,2
10537,0,0,0,4,20,1,0,1,17.0,1
10538,0,0,0,4,20,1,0,2,17.0,0
10583,0,0,0,4,20,1,0,3,131.0,0
10622,0,0,0,4,20,1,0,1,26.0,0
10632,0,0,0,4,20,1,0,6,47.0,0
10644,0,0,0,4,21,1,0,1,9.0,0
10650,0,0,0,4,21,1,0,2,52.0,0
10674,1,0,0,4,21,0,0,1,61.0,1
10691,0,0,0,4,21,0,0,1,17.0,0
10771,0,0,0,4,22,0,0,1,17.0,0
10816,0,0,0,4,22,0,0,3,29.0,0
10833,1,0,0,4,22,0,0,4,145.0,0
10859,0,0,0,4,23,0,0,2,17.0,0
10876,1,0,0,4,23,0,0,5,40.0,1
10877,1,0,0,4,23,1,0,2,115.0,1
10907,1,0,0,5,23,0,0,1,40.0,1
10917,0,0,0,4,23,1,0,6,133.0,0
10938,0,0,0,4,23,0,0,1,170.0,0
10947,0,0,0,4,23,0,0,2,40.0,1
10986,1,0,0,4,24,0,0,3,145.0,0
10993,1,0,0,4,24,0,0,2,17.0,1
11009,0,0,0,4,24,0,0,6,146.0,1
11015,0,0,0,4,24,0,0,4,5.0,1
11051,0,1,0,4,25,0,0,6,136.0,0
11054,0,1,0,4,25,1,0,6,17.0,1
11117,1,0,0,4,25,1,0,1,44.0,0
11118,0,0,0,4,25,0,0,1,17.0,1
11119,0,0,0,5,25,0,0,1,131.0,1
11138,0,0,0,4,25,0,0,4,131.0,1
11207,1,0,0,5,26,0,0,1,40.0,0
11208,0,0,0,4,26,1,0,1,40.0,1
11209,0,0,0,4,26,1,0,1,17.0,1
11212,0,0,0,4,26,1,0,1,14.0,1
11243,0,0,0,5,26,0,0,6,49.0,0
11247,1,0,0,4,26,1,0,6,40.0,0
11251,1,0,0,4,26,1,0,3,57.0,0
11256,1,0,0,5,26,0,0,1,40.0,0
11279,1,0,0,4,26,1,0,1,31.0,1
11280,0,0,0,4,26,1,0,1,29.0,0
11281,1,0,0,4,26,1,0,1,17.0,1
11293,0,0,0,4,27,1,0,1,183.0,0
11307,0,0,0,4,27,1,0,3,43.0,1
11353,0,0,0,4,27,1,0,1,175.0,0
11391,0,0,0,5,27,0,0,1,67.0,1
11409,0,0,0,4,27,1,0,1,137.0,1
11413,0,1,0,4,28,1,0,2,40.0,1
11416,0,0,0,4,28,1,0,2,40.0,1
11417,0,0,0,4,28,1,0,2,40.0,1
11440,0,0,0,4,28,1,0,2,17.0,1
11449,0,0,0,4,28,0,0,1,17.0,1
11521,0,0,0,4,28,0,0,6,131.0,0
11536,1,0,0,5,29,0,0,6,43.0,1
11548,0,0,0,5,29,1,0,1,41.0,1
11550,0,0,0,5,29,1,0,1,41.0,1
11589,0,0,0,5,29,0,0,6,40.0,1
11596,1,0,0,4,29,0,0,5,70.0,1
11610,1,0,0,5,29,1,0,6,40.0,1
11616,0,0,0,4,29,0,0,1,131.0,1
11618,1,0,0,4,29,0,0,2,23.0,0
11633,1,0,0,4,29,0,0,1,30.0,0
11639,1,0,0,4,29,0,0,5,131.0,0
11684,1,0,0,5,30,1,0,1,40.0,1
11710,0,0,0,5,30,0,0,1,17.0,1
11725,1,0,0,5,30,0,0,1,17.0,0
11743,1,0,0,5,30,0,0,1,146.0,1
11768,0,0,0,5,30,0,0,6,177.0,1
11890,0,0,0,5,1,0,0,5,110.0,0
11891,0,0,0,5,1,0,0,5,110.0,0
12002,1,0,0,5,2,0,0,1,98.0,1
12005,1,0,0,5,2,1,0,1,167.0,1
12027,1,0,0,5,2,0,0,1,34.0,1
12056,1,0,0,5,3,0,0,2,54.0,0
12073,1,0,0,5,3,1,0,6,117.0,0
12088,0,0,0,5,3,1,0,1,17.0,0
12089,0,0,0,5,3,1,0,1,17.0,0
12105,0,0,0,5,3,0,0,3,9.0,0
12111,1,0,0,5,3,1,0,1,17.0,0
12136,0,0,0,5,3,1,0,1,36.0,0
12150,0,0,0,5,3,1,0,1,17.0,1
12178,1,0,0,5,3,1,0,1,40.0,0
12185,0,0,0,5,3,1,0,1,93.0,0
12186,0,0,0,5,3,1,0,3,17.0,1
12198,0,0,0,5,3,1,0,1,157.0,1
12266,0,0,0,5,4,1,0,1,47.0,0
12284,1,0,0,5,4,0,0,2,189.0,1
12313,1,0,0,5,4,1,0,1,54.0,2
12317,0,0,0,5,4,1,0,1,17.0,0
12334,0,0,0,5,4,1,0,1,93.0,0
12343,1,0,0,5,5,0,0,1,145.0,0
12350,0,0,0,5,5,0,0,1,146.0,0
12445,1,0,0,5,5,0,0,1,17.0,1
12479,1,0,0,5,6,0,0,1,17.0,0
12488,0,0,0,5,6,0,0,1,131.0,0
12519,0,0,0,5,6,0,0,1,2.0,0
12523,0,0,0,5,6,0,0,3,137.0,1
12526,0,0,0,5,6,0,0,1,40.0,0
12548,1,0,0,5,6,0,0,1,17.0,0
12549,1,0,0,5,6,0,0,1,17.0,0
12554,0,0,0,5,7,0,0,1,176.0,0
12565,0,0,0,5,7,0,0,2,149.0,0
12589,0,0,0,5,7,0,0,1,95.0,0
12620,0,0,0,5,7,0,0,6,40.0,0
12687,0,0,0,5,8,0,0,1,17.0,0
12697,1,0,0,5,8,0,0,3,43.0,0
12709,1,0,0,5,8,1,0,1,31.0,0
12728,1,0,0,5,8,1,0,2,14.0,0
12786,0,0,0,5,9,0,0,2,17.0,0
12792,1,0,0,5,9,0,0,1,17.0,1
12796,0,0,0,5,9,1,0,6,29.0,1
12812,1,0,0,5,9,0,0,1,134.0,1
12839,1,0,0,5,9,1,0,1,17.0,1
12841,0,0,0,5,9,1,0,1,17.0,0
12861,1,0,0,5,9,0,0,1,54.0,0
12899,1,0,0,5,10,0,0,1,31.0,0
12905,1,0,0,5,10,1,0,1,159.0,0
12918,0,0,0,5,10,1,0,1,60.0,0
12992,1,0,0,5,10,0,0,3,40.0,1
13006,1,0,0,5,10,1,0,1,14.0,0
13011,0,0,0,5,10,1,0,6,116.0,1
13040,1,0,0,5,10,0,0,2,31.0,1
13091,0,0,0,5,11,1,0,6,74.0,0
13105,0,0,0,5,11,1,0,5,17.0,1
13143,1,0,0,5,11,0,0,1,28.0,0
13152,0,0,0,5,11,1,0,3,131.0,0
13159,0,1,0,5,11,0,0,6,63.0,1
13180,0,0,0,5,11,1,0,1,14.0,0
13182,0,0,0,5,11,1,0,6,145.0,0
13187,0,0,0,5,11,1,0,1,14.0,0
13207,0,0,0,6,11,1,0,1,169.0,1
13231,0,0,0,5,11,1,0,1,9.0,0
13288,0,0,0,5,12,1,0,1,4.0,1
13324,1,0,0,5,12,0,0,6,29.0,0
13326,1,0,0,5,12,1,0,3,146.0,0
13333,0,0,0,5,12,0,0,1,106.0,0
13364,0,0,0,5,12,1,0,4,11.0,1
13408,0,0,0,5,12,0,0,1,17.0,0
13409,0,0,0,5,12,0,0,1,175.0,1
13414,1,0,0,5,12,0,0,1,17.0,0
13420,1,0,0,5,12,0,0,1,31.0,0
13441,1,0,0,5,13,1,0,2,40.0,1
13530,1,0,0,5,13,0,0,1,174.0,0
13532,1,0,0,5,13,0,0,1,40.0,1
13562,1,0,0,5,13,0,0,6,17.0,1
13585,0,0,0,5,14,0,0,1,98.0,1
13595,1,0,0,5,14,0,0,3,17.0,1
13600,0,0,0,5,14,0,0,3,117.0,0
13620,0,0,0,5,14,0,0,1,42.0,0
13656,0,0,0,5,14,1,0,2,43.0,1
13668,0,0,0,5,14,0,0,1,14.0,0
13675,0,0,0,5,14,0,0,1,40.0,1
13683,0,0,0,5,14,0,0,1,40.0,0
13684,0,0,0,5,14,0,0,3,40.0,1
13711,1,0,0,5,15,1,0,1,116.0,0
13712,1,0,0,5,15,0,0,4,31.0,1
13743,0,0,0,5,15,1,0,1,40.0,0
13789,0,0,0,5,15,0,0,5,17.0,1
13796,1,0,0,5,15,1,0,1,31.0,0
13818,0,0,0,5,16,0,0,1,131.0,0
13829,0,0,0,5,16,1,0,2,14.0,1
13841,1,0,0,6,16,1,0,6,161.0,1
13846,0,0,0,5,16,0,0,1,51.0,0
13854,0,0,0,5,16,0,0,1,13.0,1
13872,1,0,0,5,16,0,0,1,2.0,0
13891,1,0,0,5,16,0,0,1,31.0,1
13893,1,0,0,5,16,0,0,1,17.0,1
13898,1,0,0,5,16,1,0,6,49.0,1
13899,0,0,0,5,16,1,0,1,26.0,0
13949,1,0,0,5,17,1,0,1,46.0,1
13959,0,0,0,5,17,1,0,6,145.0,0
13979,0,0,0,5,17,1,0,1,131.0,0
13981,0,0,0,5,17,1,0,6,40.0,0
13998,0,0,0,5,17,0,0,1,36.0,0
14015,1,0,0,5,17,0,0,5,17.0,1
14024,1,0,0,5,17,1,0,1,17.0,0
14032,1,0,0,5,17,1,0,1,131.0,0
14040,0,0,0,5,17,1,0,1,40.0,0
14072,1,0,0,5,18,1,0,4,31.0,1
